代码,名称,日期,放量倍数,涨幅%,收盘价,成交额(亿),市盈率,市净率
600151,航天机电,2025-08-26,4.0,9.95,8.73,7.96,-49.36,2.68
600179,安通控股,2025-08-26,3.46,0.56,3.6,7.89,15.74,1.35
600303,曙光股份,2025-08-26,4.38,5.15,3.88,3.21,-7.58,2.09
600319,亚星化学,2025-08-26,3.15,9.96,8.06,1.68,-28.94,6.24
600345,长江通信,2025-08-26,3.67,4.21,30.91,12.3,55.31,2.9
600500,中化国际,2025-08-26,3.74,6.51,4.58,7.63,-5.58,1.35
600539,狮头股份,2025-08-26,3.05,2.76,12.3,5.54,-112.44,8.78
600704,物产中大,2025-08-26,3.68,10.07,6.34,22.44,9.25,0.81
600715,文投控股,2025-08-26,3.27,3.56,2.62,7.52,-13.03,9.4
600761,安徽合力,2025-08-26,3.09,5.19,19.87,8.81,13.81,1.67
600817,宇通重工,2025-08-26,3.43,4.42,12.76,2.45,25.92,2.82
600883,博闻科技,2025-08-26,4.73,1.79,8.51,1.36,37.32,2.05
600963,岳阳林纸,2025-08-26,3.31,0.81,5.0,5.9,134.75,1.1
603017,中衡设计,2025-08-26,3.15,3.36,10.16,1.86,74.69,1.83
603569,长久物流,2025-08-26,3.79,6.91,8.82,2.95,77.55,1.79
603669,灵康药业,2025-08-26,3.29,0.48,6.29,4.22,-35.98,6.73
603687,大胜达,2025-08-26,3.34,5.15,8.17,2.86,38.0,1.37
603815,交建股份,2025-08-26,4.57,2.36,9.56,5.63,35.41,2.47
605151,西上海,2025-08-26,3.09,2.37,20.74,1.79,911.11,2.06
605303,园林股份,2025-08-26,4.24,9.98,24.24,10.02,-20.78,3.86
688161,威高骨科,2025-08-26,3.04,4.16,33.03,2.09,54.9,3.3
688163,赛伦生物,2025-08-26,3.66,4.15,26.63,1.57,64.1,2.6
688217,睿昂基因,2025-08-26,3.27,9.95,34.36,1.48,-148.29,2.1
688310,迈得医疗,2025-08-26,4.0,15.55,20.51,4.55,-82.56,4.34
688526,科前生物,2025-08-26,3.89,6.8,19.33,3.27,20.04,2.22
688651,盛邦安全,2025-08-26,4.16,9.78,42.0,3.37,-2005.63,3.27
000048,京基智农,2025-08-26,3.52,6.16,17.05,5.28,12.83,2.08
000055,方大集团,2025-08-26,3.04,2.14,4.3,1.92,101.92,0.76
000619,海螺新材,2025-08-26,4.62,5.23,6.84,2.22,-26.25,1.18
000828,东莞控股,2025-08-26,4.22,4.5,12.07,5.14,12.0,1.25
001326,联域股份,2025-08-26,3.23,5.58,39.36,1.6,39.48,2.33
002085,万丰奥威,2025-08-26,3.46,6.47,18.6,46.93,52.26,5.28
002091,江苏国泰,2025-08-26,4.79,1.91,8.52,12.79,11.96,0.91
002099,海翔药业,2025-08-26,4.54,6.13,6.41,4.42,-29.34,2.02
002150,通润装备,2025-08-26,3.54,4.25,13.24,3.87,20.25,2.43
002191,劲嘉股份,2025-08-26,3.36,0.65,4.62,6.02,513.66,1.01
002202,金风科技,2025-08-26,3.36,2.84,11.95,32.28,25.74,1.35
002217,合力泰,2025-08-26,3.0,10.06,3.72,29.8,11.81,14.9
002410,广联达,2025-08-26,3.89,10.03,15.36,26.77,85.78,4.33
002668,TCL智家,2025-08-26,3.39,4.54,11.05,5.56,10.93,4.4
002811,郑中设计,2025-08-26,4.99,6.05,12.09,6.34,29.78,2.59
002840,华统股份,2025-08-26,3.06,3.67,11.31,3.97,34.42,3.75
002877,智能自控,2025-08-26,4.15,4.18,9.22,2.71,384.65,2.78
002984,森麒麟,2025-08-26,3.15,4.68,20.57,11.32,10.42,1.57
300005,探路者,2025-08-26,3.08,7.24,9.78,15.03,101.96,4.09
300096,ST易联众,2025-08-26,5.42,19.92,5.78,4.64,53.33,7.1
300222,科大智能,2025-08-26,4.66,8.37,12.56,16.38,79.83,5.72
300234,开尔新材,2025-08-26,3.14,7.49,6.17,2.6,112.32,2.71
300692,中环环保,2025-08-26,3.28,6.27,7.12,2.66,47.85,1.38
300882,万胜智能,2025-08-26,5.34,7.18,18.5,5.18,40.71,4.26
300955,嘉亨家化,2025-08-26,5.22,20.02,24.52,3.23,-60.71,2.7
300971,博亚精工,2025-08-26,3.56,20.02,26.44,4.75,51.29,3.02
300993,玉马科技,2025-08-26,3.24,5.32,18.2,5.39,32.34,3.76
300994,久祺股份,2025-08-26,3.24,19.99,21.73,3.39,35.64,4.2
301046,能辉科技,2025-08-26,3.16,4.51,22.69,1.96,71.51,4.17
301063,海锅股份,2025-08-26,4.97,6.91,30.15,3.9,67.15,2.03
301287,康力源,2025-08-26,3.03,4.74,44.41,2.51,36.81,2.59
301380,挖金客,2025-08-26,3.73,7.33,42.19,7.26,60.28,5.84
301603,乔锋智能,2025-08-26,4.89,12.65,72.76,9.12,32.57,3.94
